子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,1,百度网友61eadca,09-09 10:20,我觉得这完全是故意杀人了,四川,243
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,2,百度网友499ac78,09-09 10:57,谢女士身上共有21处受伤部位，其中包括左肝广泛挫裂伤伴出血、十二指肠挫伤伴破裂、回盲部及末端回肠广泛挫裂伤伴破裂切除、胰头部和肺挫伤、蛛网膜下出血、脑挫伤、急性腹膜炎、左肾挫伤、鼻中隔偏曲、左侧三根肋骨骨折、脑震荡等,四川,9
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,3,失败是一种升华,09-09 11:36,有过错也不能如此严重，惹得一身骚,广东,0
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,4,澹台心UC,09-09 12:13,应该给于重判,河南,8
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,5,快乐小丫不是我,09-09 10:36,3年没有同居可以单方面离婚,广东,1
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,6,Juliacome,09-09 14:58,被家暴的一般都没过错贤妻良母,广东,0
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,7,gracezhanghzby,09-09 10:30,这样最好是终身监禁，要不再放出来说不定更危险,黑龙江,179
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,8,百度网友5d95b75ccf,09-09 16:43,建议开盒你这个键盘侠,陕西,0
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,9,愚玄素91,09-09 10:36,为什么才11年？这个女生的一生都被毁了！,广东,59
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,10,佘鹏天Z2,09-09 10:33,现在讨个老婆好难要花多少彩礼娶到家里就要把它当宝贝当女儿一样看待,重庆,3
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,11,游时0j9,09-09 17:21,让他在牢房中尝一尝家暴滋味,江苏,0
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,12,百度网友5d95b75ccf,09-09 16:45,女的有知心姐姐，已经赚翻了,陕西,0
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,13,huniudeniang,09-09 16:21,故意杀人罪！应该判死刑,河南,0
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,14,剑利泽Bb,09-09 12:39,对！这样的社会恶魔决不可放出去，应该判无期徒刑,广东,4
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,15,吾念瑶,09-09 10:25,如果原因不是出轨、赌博、吸毒、败光家里的钱这些的话，那这个家暴真是判轻了，可以再加重一点判，但是如果是前面说的那几种理由的话，就是判重了。,北京,39
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,16,chance20222,09-09 10:51,竟然才11年,广东,66
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,17,springm9966,09-09 13:23,这个家暴男是开装修公司的千万身价能赚钱也还帅，前妻就是被打跑的，前妻留下的孩子也经常被皮带抽，什么都要听男人的，不听话就一顿暴打、甚至用刀捅。,山东,3
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,18,云姬410834,09-09 10:32,这种人在法庭都搞死亡威胁，出来肯定报复，女的要逃远点才好,北京,71
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,19,maocc2012,09-09 10:50,只能说小谢趁着热度多直播多赚钱吧，想办法带家人出国定居吧,江苏,27
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,20,金3顺,09-09 12:20,直接就崩他,北京,3
“女子两年遭家暴16次”案二审维持原判，前夫获刑11年,9月9日 10:02,21,Ly秀,09-09 12:40,法律应该加上让施暴者断手处理,广东,1
